5/9/2021 5:00:35 PM  Counts:902000
1418.904000000  0.029986071
1418.906343750  0.029994948
1418.908687500  0.030135070
1418.911031250  0.030576402
1418.913375000  0.030066051
1418.915718750  0.030082193
1418.918062500  0.030131751
1418.920406250  0.030164940
1418.922750000  0.030280213
1418.925093750  0.030949955
1418.927437500  0.030452364
1418.929781250  0.030452939
1418.932125000  0.030555407
1418.934468750  0.030575579
1418.936812500  0.030642729
1418.939156250  0.030879281
1418.941500000  0.030886394
1418.943843750  0.030970341
1418.946187500  0.031033637
1418.948531250  0.031139758
1418.950875000  0.031271908
1418.953218750  0.031432209
1418.955562500  0.031682808
1418.957906250  0.031898212
1418.960250000  0.031867553
1418.962593750  0.032012677
1418.964937500  0.032109725
1418.967281250  0.032263836
1418.969625000  0.032453958
1418.971968750  0.032779253
1418.974312500  0.032823867
1418.976656250  0.032919278
1418.979000000  0.033096432
1418.981343750  0.033218269
1418.983687500  0.033420041
1418.986031250  0.033669098
1418.988375000  0.033880376
1418.990718750  0.034033697
1418.993062500  0.034256543
1418.995406250  0.034423874
1418.997750000  0.034596599
1419.000093750  0.034824795
1419.002437500  0.034991713
1419.004781250  0.035162719
1419.007125000  0.035377050
1419.009468750  0.035627997
1419.011812500  0.035755698
1419.014156250  0.036066232
1419.016500000  0.036338749
1419.018843750  0.036744812
1419.021187500  0.036819395
1419.023531250  0.036884537
1419.025875000  0.037226786
1419.028218750  0.037428470
1419.030562500  0.037624801
1419.032906250  0.037895091
1419.035250000  0.038132916
1419.037593750  0.038390232
1419.039937500  0.038557967
1419.042281250  0.038778027
1419.044625000  0.038999119
1419.046968750  0.039264521
1419.049312500  0.039690418
1419.051656250  0.040719692
1419.054000000  0.040077451
1419.056343750  0.040410169
1419.058687500  0.040531197
1419.061031250  0.040760911
1419.063375000  0.041076653
1419.065718750  0.041309771
1419.068062500  0.041390556
1419.070406250  0.041664221
1419.072750000  0.041991770
1419.075093750  0.042167123
1419.077437500  0.042401974
1419.079781250  0.042689029
1419.082125000  0.044800780
1419.084468750  0.043221589
1419.086812500  0.043401728
1419.089156250  0.043570041
1419.091500000  0.043848736
1419.093843750  0.044199572
1419.096187500  0.044564363
1419.098531250  0.044610725
1419.100875000  0.044756571
1419.103218750  0.044980648
1419.105562500  0.045181056
1419.107906250  0.045489887
1419.110250000  0.045718192
1419.112593750  0.046751847
1419.114937500  0.047075303
1419.117281250  0.046501968
1419.119625000  0.046661849
1419.121968750  0.046858668
1419.124312500  0.047165784
1419.126656250  0.047479187
1419.129000000  0.047616209
1419.131343750  0.047794565
1419.133687500  0.048007517
1419.136031250  0.048172643
1419.138375000  0.048511335
1419.140718750  0.048678739
1419.143062500  0.048824891
1419.145406250  0.049905876
1419.147750000  0.049255094
1419.150093750  0.049431774
1419.152437500  0.049751938
1419.154781250  0.049887026
1419.157125000  0.050148764
1419.159468750  0.050325730
1419.161812500  0.050567419
1419.164156250  0.050690811
1419.166500000  0.050830749
1419.168843750  0.051040253
1419.171187500  0.051255460
1419.173531250  0.051388687
1419.175875000  0.051603003
1419.178218750  0.051871350
1419.180562500  0.052063440
1419.182906250  0.052297021
1419.185250000  0.052336886
1419.187593750  0.052594610
